year,feature,mean,std
2010,0,432.39996,19.355234
2010,1,382.7959,7.01637
2010,2,423.73145,8.342383
2010,3,441.13248,31.084476
2010,4,435.69278,13.417494
2010,5,450.601,16.128357
2010,6,365.70517,36.13906
2010,7,421.3395,36.814068
2010,8,410.05807,51.17935
2010,9,334.8721,38.40802
2010,10,301.82837,12.339414
2010,11,473.4557,9.200417
2010,12,421.74393,22.414675
2010,13,441.93515,19.311054
2010,14,132.68204,26.808006
2010,15,348.87164,35.34787
2010,16,410.70734,27.49094
2010,17,355.33707,46.72222
2010,18,354.36145,24.09856
2010,19,186.85492,6.156909
2010,20,407.45377,14.988676
2010,21,268.5938,44.454998
2010,22,456.02396,19.569439
2010,23,203.57643,11.5637665
2010,24,409.2587,12.077527
2010,25,306.98,29.822632
2011,0,194.45567,9.514597
2011,1,185.41034,7.659499
2011,2,198.31152,5.8817925
2011,3,234.61673,13.960421
2011,4,251.34839,14.641609
2011,5,219.50954,8.501875
2011,6,154.93695,19.024767
2011,7,282.90002,34.629173
2011,8,185.71039,32.404297
2011,9,195.87674,30.610695
2011,10,123.86069,7.2451606
2011,11,229.19528,4.105705
2011,12,203.09293,20.126259
2011,13,319.99277,15.280359
2011,14,60.222424,10.974126
2011,15,199.22028,24.97412
2011,16,278.87286,21.859198
2011,17,143.11777,20.77892
2011,18,159.01733,16.29965
2011,19,77.396904,5.7077847
2011,20,228.22878,3.1834493
2011,21,135.66667,26.440872
2011,22,225.81674,6.485258
2011,23,86.86231,9.250218
2011,24,234.51501,6.8637066
2011,25,182.74036,23.416264
2012,0,353.29565,14.242859
2012,1,321.52292,10.980722
2012,2,355.83508,10.832938
2012,3,403.36862,32.0485
2012,4,469.44424,19.396507
2012,5,380.19943,15.398809
2012,6,309.46182,29.025568
2012,7,514.1684,44.354153
2012,8,350.8572,42.781544
2012,9,335.8803,60.637306
2012,10,263.98517,11.657606
2012,11,392.6103,7.4059825
2012,12,366.28043,22.15387
2012,13,541.37244,27.056238
2012,14,89.91815,23.697521
2012,15,339.9848,43.05989
2012,16,485.4437,38.417206
2012,17,292.28445,36.750946
2012,18,303.1985,21.252813
2012,19,130.87961,6.1099815
2012,20,419.61868,18.122889
2012,21,224.2445,43.4481
2012,22,393.7769,14.007833
2012,23,149.6267,14.749832
2012,24,465.5496,10.242291
2012,25,293.88556,46.74841
2013,0,247.33124,14.844907
2013,1,252.4144,6.2798753
2013,2,236.27989,8.445604
2013,3,316.4048,22.943838
2013,4,355.7351,12.461831
2013,5,275.23514,10.900436
2013,6,215.53008,17.960396
2013,7,367.86328,31.849323
2013,8,245.65305,28.266823
2013,9,241.5612,37.719532
2013,10,176.59467,10.17984
2013,11,287.6682,14.320274
2013,12,261.0532,14.140473
2013,13,412.0492,25.327658
2013,14,77.55253,15.902521
2013,15,254.63806,35.19636
2013,16,342.67133,24.756905
2013,17,198.5453,18.70208
2013,18,221.90846,19.199203
2013,19,111.79212,5.7780957
2013,20,330.52948,19.653358
2013,21,180.36494,33.469933
2013,22,293.28876,15.507041
2013,23,126.65358,11.592742
2013,24,323.80417,7.906877
2013,25,222.72871,30.456413
2014,0,228.74974,21.894365
2014,1,207.10889,7.631826
2014,2,204.74603,9.810015
2014,3,292.00653,38.404133
2014,4,342.20758,18.053179
2014,5,261.00632,15.755722
2014,6,175.04382,17.73676
2014,7,373.65,22.983074
2014,8,206.21242,31.263584
2014,9,211.36118,35.056744
2014,10,138.6949,9.265448
2014,11,270.86694,17.26764
2014,12,222.19522,18.608799
2014,13,390.25436,17.948362
2014,14,55.285816,12.998847
2014,15,215.42876,30.073189
2014,16,320.9678,37.522514
2014,17,164.3524,22.461294
2014,18,176.7572,17.519611
2014,19,78.24549,6.451142
2014,20,292.93542,16.611464
2014,21,146.28601,28.27381
2014,22,296.462,8.637135
2014,23,88.59684,9.845857
2014,24,380.61002,9.685679
2014,25,190.20891,28.257956
2015,0,188.71545,13.078738
2015,1,211.96977,5.379639
2015,2,183.77608,9.16238
2015,3,279.04227,23.846876
2015,4,350.7917,19.123665
2015,5,225.92662,16.533915
2015,6,169.70029,13.249534
2015,7,361.83838,30.885242
2015,8,201.04242,24.43722
2015,9,243.4364,40.760765
2015,10,147.81041,8.717395
2015,11,246.23167,14.8281145
2015,12,219.49883,15.720797
2015,13,414.91275,29.202835
2015,14,74.12728,19.183474
2015,15,232.01205,28.68246
2015,16,356.00092,20.12869
2015,17,159.7047,14.052263
2015,18,184.0423,17.537197
2015,19,107.028206,7.818364
2015,20,295.77673,17.513409
2015,21,168.00708,25.553497
2015,22,260.25635,10.717598
2015,23,116.52399,9.843119
2015,24,344.27863,10.459156
2015,25,230.04396,39.648033
2016,0,236.28143,11.13636
2016,1,275.87253,7.645056
2016,2,231.29907,12.882447
2016,3,345.37268,21.040297
2016,4,394.4784,15.582226
2016,5,279.0079,20.49524
2016,6,215.27924,14.586382
2016,7,421.0317,43.802914
2016,8,259.94946,30.513206
2016,9,307.0604,48.769707
2016,10,194.59224,9.533279
2016,11,315.6838,18.09856
2016,12,291.88635,20.28957
2016,13,484.25992,32.743824
2016,14,84.530136,22.161522
2016,15,304.67184,39.378704
2016,16,399.7189,25.268757
2016,17,201.87564,14.949659
2016,18,242.30676,22.308044
2016,19,128.98514,8.238298
2016,20,374.2351,17.534893
2016,21,208.72276,36.907528
2016,22,320.14728,17.395805
2016,23,140.6123,11.0967865
2016,24,369.5417,9.9269
2016,25,271.79205,38.67126
2017,0,193.09729,8.500008
2017,1,223.4047,10.099595
2017,2,191.26935,6.2287245
2017,3,269.1278,21.28624
2017,4,313.4847,13.23305
2017,5,225.16283,15.185135
2017,6,163.03882,17.297596
2017,7,334.4412,27.23192
2017,8,200.08218,30.89101
2017,9,226.23402,39.9191
2017,10,135.17989,7.8654637
2017,11,254.40178,13.654264
2017,12,233.89133,23.389208
2017,13,358.3182,17.75714
2017,14,67.73959,10.449293
2017,15,220.09547,30.32585
2017,16,321.9643,18.904366
2017,17,147.80873,16.803772
2017,18,178.46642,19.050694
2017,19,72.13036,4.55863
2017,20,276.71597,13.695651
2017,21,136.97885,31.1237
2017,22,257.46585,9.643471
2017,23,86.410225,9.600047
2017,24,308.21625,8.334651
2017,25,211.98895,40.554455
2018,0,202.81795,9.75076
2018,1,223.48062,4.0502925
2018,2,199.12741,9.30861
2018,3,287.03757,29.664015
2018,4,354.47903,13.905872
2018,5,233.16264,15.709954
2018,6,200.92412,17.642649
2018,7,391.8282,44.89562
2018,8,228.78412,20.843027
2018,9,240.7813,49.874104
2018,10,177.17479,10.1434145
2018,11,256.98392,14.859852
2018,12,237.29065,9.207636
2018,13,453.7167,36.68258
2018,14,73.03503,16.913733
2018,15,229.35611,35.408733
2018,16,364.25525,21.599562
2018,17,185.92377,12.839081
2018,18,206.75372,15.504641
2018,19,104.52713,6.419757
2018,20,313.75928,21.312424
2018,21,166.27916,25.497946
2018,22,277.73242,10.981261
2018,23,119.74946,11.508503
2018,24,336.39426,11.30147
2018,25,218.56389,37.109352
2019,0,154.05202,12.719155
2019,1,164.64488,6.9329863
2019,2,137.96042,3.9842281
2019,3,211.36465,26.301321
2019,4,245.71521,13.302553
2019,5,171.94566,13.206544
2019,6,131.52931,12.742466
2019,7,304.26367,32.868095
2019,8,152.02728,19.002186
2019,9,174.03708,31.54038
2019,10,108.259056,6.8424892
2019,11,184.26486,11.716162
2019,12,177.19867,10.921068
2019,13,360.37225,31.367298
2019,14,49.108913,10.859789
2019,15,163.23422,22.716337
2019,16,268.82095,25.738544
2019,17,124.672874,13.896849
2019,18,139.51233,14.452363
2019,19,66.42053,5.7080073
2019,20,203.58694,10.401947
2019,21,114.43279,19.593563
2019,22,208.19485,7.242064
2019,23,77.70978,8.928334
2019,24,260.9535,6.556559
2019,25,161.93893,29.71141
2020,0,304.8886,19.9064
2020,1,293.77213,9.565269
2020,2,289.6974,14.865251
2020,3,420.2283,33.781536
2020,4,494.34494,23.112253
2020,5,360.60672,25.39577
2020,6,252.81903,25.085188
2020,7,524.1593,49.67525
2020,8,304.53134,42.482124
2020,9,360.87518,73.62896
2020,10,198.863,10.470685
2020,11,390.02856,23.40481
2020,12,317.20044,31.299461
2020,13,609.8866,30.893986
2020,14,75.97106,20.682507
2020,15,351.2059,52.46523
2020,16,528.7862,35.055477
2020,17,227.68498,27.611174
2020,18,244.39987,25.513548
2020,19,111.07368,9.508761
2020,20,449.07004,22.994577
2020,21,209.17442,44.913395
2020,22,413.76712,17.236046
2020,23,122.41738,12.659397
2020,24,475.0038,21.248323
2020,25,329.50256,71.40914
2021,0,249.95853,9.796665
2021,1,200.7348,9.270327
2021,2,237.5234,5.967756
2021,3,264.24176,24.807928
2021,4,293.70093,15.538397
2021,5,268.73557,7.2177024
2021,6,210.44717,29.402885
2021,7,327.0878,30.37384
2021,8,229.0495,33.94823
2021,9,207.86034,36.87858
2021,10,141.19542,9.380032
2021,11,264.87918,5.980943
2021,12,234.62285,16.513186
2021,13,362.3947,24.7784
2021,14,59.514427,13.619171
2021,15,206.34909,27.473314
2021,16,310.5304,22.266066
2021,17,198.62209,32.258656
2021,18,175.85802,16.607105
2021,19,84.05601,4.612075
2021,20,264.33405,14.151354
2021,21,137.43092,25.595337
2021,22,276.29062,8.625849
2021,23,94.54586,7.95772
2021,24,286.31326,9.022801
2021,25,186.75615,35.33995
2022,0,231.61682,16.593328
2022,1,239.70456,5.739595
2022,2,207.8454,5.223582
2022,3,370.78186,62.154198
2022,4,495.38,27.368862
2022,5,255.28624,21.284357
2022,6,203.16905,15.029451
2022,7,518.67175,25.828255
2022,8,219.89903,18.08862
2022,9,320.90967,74.73761
2022,10,183.30304,7.661365
